Model,Features,MeanAbsoluteError,NumViolations,MaxViolations,MonotonicityScore
Gradient Boosting (N=50),Scheme + Quantitative 6 epochs,0.006,37,780,0.9526
Gradient Boosting (N=50),Scheme + Quantitative 9 epochs,0.0055,34,780,0.9564
Gradient Boosting (N=100),Scheme,0.0062,42,780,0.9462
Gradient Boosting (N=100),Scheme + Quantitative 3 epochs,0.0059,33,780,0.9577
Gradient Boosting (N=100),Scheme + Quantitative 6 epochs,0.0056,31,780,0.9603
Gradient Boosting (N=100),Scheme + Quantitative 9 epochs,0.0058,32,780,0.959
Gradient Boosting (N=200),Scheme,0.0054,43,780,0.9449
Gradient Boosting (N=200),Scheme + Quantitative 3 epochs,0.006,38,780,0.9513
Gradient Boosting (N=200),Scheme + Quantitative 6 epochs,0.0058,30,780,0.9615
Gradient Boosting (N=200),Scheme + Quantitative 9 epochs,0.0058,33,780,0.9577
AdaBoost (N=25),Scheme,0.0104,52,780,0.9333
AdaBoost (N=25),Scheme + Quantitative 3 epochs,0.0086,41,780,0.9474
AdaBoost (N=25),Scheme + Quantitative 6 epochs,0.0066,37,780,0.9526
AdaBoost (N=25),Scheme + Quantitative 9 epochs,0.0062,35,780,0.9551
AdaBoost (N=50),Scheme,0.0104,52,780,0.9333
AdaBoost (N=50),Scheme + Quantitative 3 epochs,0.0078,43,780,0.9449
AdaBoost (N=50),Scheme + Quantitative 6 epochs,0.0065,37,780,0.9526
AdaBoost (N=50),Scheme + Quantitative 9 epochs,0.0058,33,780,0.9577
AdaBoost (N=100),Scheme,0.0104,52,780,0.9333
AdaBoost (N=100),Scheme + Quantitative 3 epochs,0.0083,44,780,0.9436
AdaBoost (N=100),Scheme + Quantitative 6 epochs,0.0069,38,780,0.9513
AdaBoost (N=100),Scheme + Quantitative 9 epochs,0.0054,35,780,0.9551
AdaBoost (N=200),Scheme,0.0104,52,780,0.9333
AdaBoost (N=200),Scheme + Quantitative 3 epochs,0.0083,44,780,0.9436
AdaBoost (N=200),Scheme + Quantitative 6 epochs,0.0066,38,780,0.9513
AdaBoost (N=200),Scheme + Quantitative 9 epochs,0.0057,36,780,0.9538
SVR (RBF kernel),Scheme,0.0093,68,780,0.9128
SVR (RBF kernel),Scheme + Quantitative 3 epochs,0.0066,40,780,0.9487
SVR (RBF kernel),Scheme + Quantitative 6 epochs,0.0052,30,780,0.9615
SVR (RBF kernel),Scheme + Quantitative 9 epochs,0.0051,31,780,0.9603
SVR (Polynomial kernel),Scheme,0.0204,69,780,0.9115
SVR (Polynomial kernel),Scheme + Quantitative 3 epochs,0.0084,47,780,0.9397
SVR (Polynomial kernel),Scheme + Quantitative 6 epochs,0.0085,63,780,0.9192
SVR (Polynomial kernel),Scheme + Quantitative 9 epochs,0.0098,64,780,0.9179
SVR (Linear kernel),Scheme,0.0169,65,780,0.9167
SVR (Linear kernel),Scheme + Quantitative 3 epochs,0.0089,52,780,0.9333
SVR (Linear kernel),Scheme + Quantitative 6 epochs,0.0078,44,780,0.9436
SVR (Linear kernel),Scheme + Quantitative 9 epochs,0.0067,41,780,0.9474
Random Forest (N=25),Scheme,0.0067,51,780,0.9346
Random Forest (N=25),Scheme + Quantitative 3 epochs,0.0058,36,780,0.9538
Random Forest (N=25),Scheme + Quantitative 6 epochs,0.005,33,780,0.9577
Random Forest (N=25),Scheme + Quantitative 9 epochs,0.0045,28,780,0.9641
Random Forest (N=50),Scheme,0.0064,50,780,0.9359
Random Forest (N=50),Scheme + Quantitative 3 epochs,0.0059,34,780,0.9564
Random Forest (N=50),Scheme + Quantitative 6 epochs,0.005,29,780,0.9628
Random Forest (N=50),Scheme + Quantitative 9 epochs,0.0047,28,780,0.9641
Random Forest (N=100),Scheme,0.0061,48,780,0.9385
Random Forest (N=100),Scheme + Quantitative 3 epochs,0.0052,34,780,0.9564
Random Forest (N=100),Scheme + Quantitative 6 epochs,0.0051,26,780,0.9667
Random Forest (N=100),Scheme + Quantitative 9 epochs,0.0045,27,780,0.9654
Random Forest (N=200),Scheme,0.0063,48,780,0.9385
Random Forest (N=200),Scheme + Quantitative 3 epochs,0.0055,32,780,0.959
Random Forest (N=200),Scheme + Quantitative 6 epochs,0.0049,25,780,0.9679
Random Forest (N=200),Scheme + Quantitative 9 epochs,0.0044,25,780,0.9679
